id                name                                                         schema
--                ----                                                         ------
customfield_12607 Weitere Angaben zu Kompetenzen                               @{type=string; custom=com.atlassian.jir…
customfield_12609 Selbstauskunft                                               @{type=string; custom=com.atlassian.jir…
customfield_11630 Vereinsfunktion 2 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_10420 Eingangsart                                                  @{type=option; custom=com.atlassian.jir…
customfield_12600 K.ID                                                         @{type=string; custom=com.atlassian.jir…
customfield_10300 Rechnung comment field 3                                     @{type=string; custom=com.atlassian.jir…
customfield_11632 Vereinsfunktion 4 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_11510 Bitte erläutern Sie uns kurz Ihr Anliegen                    @{type=string; custom=com.atlassian.jir…
customfield_11631 Vereinsfunktion 3 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_11502 Kon. Straße, Hausnummer                                      @{type=string; custom=com.atlassian.jir…
customfield_10412 Partner                                                      @{type=string; custom=com.atlassian.jir…
customfield_11623 Vereinsfunktion 5 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_11501 Kon. Vorname                                                 @{type=string; custom=com.atlassian.jir…
customfield_10413 Veranstaltungsort                                            @{type=string; custom=com.atlassian.jir…
customfield_11622 Vereinsfunktion 4 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_11504 Kon. Ort                                                     @{type=string; custom=com.atlassian.jir…
customfield_11625 Vereinsfunktion 7 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_10415 Anmeldung                                                    @{type=string; custom=com.atlassian.jir…
customfield_11503 Kon. Postleitzahl                                            @{type=string; custom=com.atlassian.jir…
customfield_11624 Vereinsfunktion 6 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_10416 Hinweise                                                     @{type=string; custom=com.atlassian.jir…
customfield_11506 Kon. Telefon                                                 @{type=string; custom=com.atlassian.jir…
customfield_11627 Vereinsfunktion 9 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_11505 Kon. Firmenname                                              @{type=string; custom=com.atlassian.jir…
customfield_11626 Vereinsfunktion 8 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_11508 Kon. E-Mail                                                  @{type=string; custom=com.atlassian.jir…
customfield_10418 Uhrzeit                                                      @{type=string; custom=com.atlassian.jir…
customfield_11629 Vereinsfunktion 1 Geändert am                                @{type=string; custom=com.atlassian.jir…
customfield_10419 I.Ort                                                        @{type=string; custom=com.atlassian.jir…
customfield_11507 Kon. Telefax                                                 @{type=string; custom=com.atlassian.jir…
customfield_11628 Vereinsfunktion 10 Bis                                       @{type=string; custom=com.atlassian.jir…
customfield_11509 Kon. Website                                                 @{type=string; custom=com.atlassian.jir…
customfield_13000 Lösung                                                       @{type=string; custom=com.atlassian.jir…
customfield_11500 Kon. Nachname                                                @{type=string; custom=com.atlassian.jir…
customfield_11621 Vereinsfunktion 3 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_11620 Vereinsfunktion 2 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_12701 Parent Link                                                  @{type=any; custom=com.atlassian.jpo:jp…
customfield_11612 Vereinsfunktion 4 Von                                        @{type=string; custom=com.atlassian.jir…
customfield_12700 Team                                                         @{type=any; custom=com.atlassian.teams:…
customfield_11611 Vereinsfunktion 3 Von                                        @{type=string; custom=com.atlassian.jir…
customfield_12703 Target end                                                   @{type=date; custom=com.atlassian.jpo:j…
customfield_11614 Vereinsfunktion 6 Von                                        @{type=string; custom=com.atlassian.jir…
customfield_12702 Target start                                                 @{type=date; custom=com.atlassian.jpo:j…
customfield_11613 Vereinsfunktion 5 Von                                        @{type=string; custom=com.atlassian.jir…
customfield_11616 Vereinsfunktion 8 Von                                        @{type=string; custom=com.atlassian.jir…
customfield_12704 Original story points                                        @{type=number; custom=com.atlassian.jpo…
customfield_11615 Vereinsfunktion 7 Von                                        @{type=string; custom=com.atlassian.jir…
customfield_10407 Kontoinhaber                                                 @{type=string; custom=com.atlassian.jir…
customfield_11618 Vereinsfunktion 10 Von                                       @{type=string; custom=com.atlassian.jir…
customfield_11617 Vereinsfunktion 9 Von                                        @{type=string; custom=com.atlassian.jir…
customfield_11619 Vereinsfunktion 1 Bis                                        @{type=string; custom=com.atlassian.jir…
customfield_11610 Vereinsfunktion 2 Von                                        @{type=string; custom=com.atlassian.jir…
customfield_11609 Vereinsfunktion 1 Von                                        @{type=string; custom=com.atlassian.jir…
